order_month,forecast_revenue
2018-09-01,947444.489901548
2018-10-01,933265.5668473814
2018-11-01,938382.0367307148
2018-12-01,892989.2683691666
2019-01-01,932936.9478083337
2019-02-01,930227.9455000006
