month,actual_revenue,predicted_revenue
2018-03-01,983213.44,913040.7458500022
2018-04-01,996647.75,847698.5491
2018-05-01,996517.68,850833.7300000001
2018-06-01,865124.31,844790.7442000001
2018-07-01,895507.22,874811.7181500004
2018-08-01,854686.33,849275.4678499997
